pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1137483,,bse_fo,SO,SOLARINDS,SOLARINDS26JUL15000PE,PE,SOLARINDS30JUL2615000.00PE,,532725,,,SOLARINDS26JUL15000PE,,,5,50,1785436199,1,2,1.5e+06,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,50,0,38110,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137494,,bse_fo,SO,INDIANB,INDIANB26JUL900CE,CE,INDIANB30JUL26900.00CE,,532814,,,INDIANB26JUL900CE,,,5,1000,1785436199,1,2,90000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1000,0,4945,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137502,,bse_fo,SO,HDFCLIFE,HDFCLIFE26JUL555CE,CE,HDFCLIFE30JUL26555.00CE,,540777,,,HDFCLIFE26JUL555CE,,,5,1100,1785436199,1,2,55500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1100,0,9055,3275,1,1,1,0,0,1,0,-1,1,0,44000
1137534,,bse_fo,SO,BANKBARODA,BANKBARODA26JUL250PE,PE,BANKBARODA30JUL26250.00PE,,532134,,,BANKBARODA26JUL250PE,,,5,2925,1785436199,1,2,25000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,2925,0,3055,5,1,1,1,0,0,1,0,-1,1,0,175500
1137584,,bse_fo,SO,YESBANK,YESBANK26JUL26PE,PE,YESBANK30JUL2626.00PE,,532648,,,YESBANK26JUL26PE,,,5,31100,1785436199,1,2,2600,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,31100,0,2425,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137612,,bse_fo,SO,INDIGO,INDIGO26JUL4150PE,PE,INDIGO30JUL264150.00PE,,539448,,,INDIGO26JUL4150PE,,,5,150,1785436199,1,2,415000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,30565,4715,1,1,1,0,0,1,0,-1,1,0,12000
1137647,,bse_fo,SO,DALBHARAT,DALBHARAT26JUL2000CE,CE,DALBHARAT30JUL262000.00CE,,542216,,,DALBHARAT26JUL2000CE,,,5,325,1785436199,1,2,200000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,325,0,4670,5,1,1,1,0,0,1,0,-1,1,0,15000
1137648,,bse_fo,SO,SUNPHARMA,SUNPHARMA26JUL1860CE,CE,SUNPHARMA30JUL261860.00CE,,524715,,,SUNPHARMA26JUL1860CE,,,5,350,1785436199,1,2,186000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,350,0,17755,4100,1,1,1,0,0,1,0,-1,1,0,28000
1137660,,bse_fo,SO,HEROMOTOCO,HEROMOTOCO26JUL4950CE,CE,HEROMOTOCO30JUL264950.00CE,,500182,,,HEROMOTOCO26JUL4950CE,,,5,150,1785436199,1,2,495000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,48005,7435,1,1,1,0,0,1,0,-1,1,0,9000
1137666,,bse_fo,IO,SENSEX50,SENSEX5026JUL26100PE,PE,SENSEX5030JUL2626100.00PE,,47,,,SENSEX5026JUL26100PE,,,5,75,1785436199,1,2,2.61e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,75,0,193080,74225,1,1,1,0,0,1,0,-1,1,0,1800
1137682,,bse_fo,SO,HDFCLIFE,HDFCLIFE26JUL620PE,PE,HDFCLIFE30JUL26620.00PE,,540777,,,HDFCLIFE26JUL620PE,,,5,1100,1785436199,1,2,62000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1100,0,5400,1240,1,1,1,0,0,1,0,-1,1,0,44000
1137689,,bse_fo,SO,FORCEMOT,FORCEMOT26JUN18500PE,PE,FORCEMOT25JUN2618500.00PE,,500033,,,FORCEMOT26JUN18500PE,,,5,25,1782412199,1,2,1.85e+06,BSE,SO,1782412199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1782345600,1782345600,,,,,Physical,,0,1,0.00,25,0,168245,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137702,,bse_fo,SO,JSWSTEEL,JSWSTEEL26JUL1240CE,CE,JSWSTEEL30JUL261240.00CE,,500228,,,JSWSTEEL26JUL1240CE,,,5,675,1785436199,1,2,124000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,675,0,15620,3900,1,1,1,0,0,1,0,-1,1,0,40500
1137712,,bse_fo,SO,VEDL,VEDL26JUL310PE,PE,VEDL30JUL26310.00PE,,500295,,,VEDL26JUL310PE,,,5,1150,1785436199,1,2,31000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1150,0,2260,275,1,1,1,0,0,1,0,-1,1,0,80000
1137771,,bse_fo,IO,BANKEX,BANKEX26JUL62100PE,PE,BANKEX30JUL2662100.00PE,,12,,,BANKEX26JUL62100PE,,,5,30,1785436199,1,2,6.21e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,30,0,438725,202135,1,1,1,0,0,1,0,-1,1,0,900
