pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,CASEligible
1104213,,bse_fo,SO,GLENMARK,GLENMARK26NOV2560PE,PE,GLENMARK26NOV262560.00PE,,532296,,,GLENMARK26NOV2560PE,,,5,375,1795717799,1,2,256000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,375,0,29085,9180,1,1,1,0,0,1,0,-1,1,0,43500,false
1110939,,bse_fo,SO,UNOMINDA,UNOMINDA26NOV1160PE,PE,UNOMINDA26NOV261160.00PE,,532539,,,UNOMINDA26NOV1160PE,,,5,550,1795717799,1,2,116000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,550,0,8020,965,1,1,1,0,0,1,0,-1,1,0,100000000,false
1124380,,bse_fo,IO,SENSEX,SENSEX26O2272000PE,PE,SENSEX22OCT2672000.00PE,,1,,,SENSEX26O2272000PE,,,5,20,1792693799,1,2,7.2e+06,BSE,IO,1792693799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1792627200,1792627200,,,,,Cash,,0,1,0.00,20,0,79405,5,1,1,1,0,0,1,0,-1,1,0,1000,false
886750,,bse_fo,IO,SENSEX,SENSEX26O0182700PE,PE,SENSEX01OCT2682700.00PE,,1,,,SENSEX26O0182700PE,,,5,20,1790879399,1,2,8.27e+06,BSE,IO,1790879399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790812800,1790812800,,,,,Cash,,0,1,0.00,20,0,1.06822e+06,574000,1,1,1,0,0,1,0,-1,1,0,1000,false
1105126,,bse_fo,IO,SENSEX50,SENSEX5026NOV25050CE,CE,SENSEX5026NOV2625050.00CE,,47,,,SENSEX5026NOV25050CE,,,5,75,1795717799,1,2,2.505e+06,BSE,IO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Cash,,0,1,0.00,75,0,78695,1325,1,1,1,0,0,1,0,-1,1,0,1800,false
1111500,,bse_fo,SO,TRENT,TRENT26NOV3250PE,PE,TRENT26NOV263250.00PE,,500251,,,TRENT26NOV3250PE,,,5,225,1795717799,1,2,325000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,225,0,64800,29080,1,1,1,0,0,1,0,-1,1,0,16000,false
1121773,,bse_fo,SO,OIL,OIL26OCT525CE,CE,OIL29OCT26525.00CE,,533106,,,OIL26OCT525CE,,,5,1400,1793298599,1,2,52500,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,1400,0,2405,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
857636,,bse_fo,SO,INOXWIND,INOXWIND26SEP65CE,CE,INOXWIND24SEP2665.00CE,,539083,,,INOXWIND26SEP65CE,,,5,6400,1790274599,1,2,6500,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,6400,0,2940,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
1101482,,bse_fo,SO,BHEL,BHEL26NOV465CE,CE,BHEL26NOV26465.00CE,,500103,,,BHEL26NOV465CE,,,5,2625,1795717799,1,2,46500,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,2625,0,3345,5,1,1,1,0,0,1,0,-1,1,0,315000,false
1125866,,bse_fo,SO,LUPIN,LUPIN26OCT1980PE,PE,LUPIN29OCT261980.00PE,,500257,,,LUPIN26OCT1980PE,,,5,425,1793298599,1,2,198000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,425,0,4465,5,1,1,1,0,0,1,0,-1,1,0,34000,false
